Fishery Profile,Port Characteristics,Ecology ,,
Species,Port ,Region ,,
Port of landing ,Year ,Biomass harvested species,,
Year,Month/date,Biomass unharvested species,,
Month/date,# vessels in fleet ,Sea surface temperature,,
Gear type,Size of vessels (either weight class or length),Other ocean climate data? ,,
# of vessels,Gear types,,,
Volume harvested (lbs),Species ,,,
Volume harvested (# fish) ,Volume processed (lbs),,,
Market (human or bait),Volumed processed (# fish) ,,,
Exvessel $/lb,"Markets (human/bait, local/export)",,,
Exvessel value (total fleet),,,,
,,,,